x_centroid,y_centroid,x_start,y_start,x_end,y_end,depth,length,area,v_axial,v_Mx,v_My,v_total,Fz,Mxi,Myi
15.506097560975611,-21.49390243902439,15.329268292682928,-21.670731707317074,15.682926829268293,-21.317073170731707,9,0.5001486988880458,4.501338289992412,-0.16147581353985427,-0.009731777489464723,-0.004352191381641716,-0.1755597824109607,-0.7902539707491938,16.985641749334803,12.253755168385366
15.859756097560975,-21.140243902439025,15.682926829268293,-21.317073170731707,16.036585365853657,-20.963414634146343,9,0.5001486988880458,4.501338289992412,-0.16147581353985427,-0.009571651788928852,-0.004451454889362996,-0.17549892021814611,-0.7899800094302646,16.700370077406873,12.528890271512916
16.21341463414634,-20.78658536585366,16.036585365853657,-20.963414634146343,16.390243902439025,-20.609756097560975,9,0.5001486988880458,4.501338289992412,-0.16147581353985427,-0.009411526088392979,-0.004550718397084278,-0.17543805802533155,-0.7897060481113355,16.415292182997213,12.8038315971222
16.567073170731707,-20.432926829268293,16.390243902439025,-20.609756097560975,16.74390243902439,-20.25609756097561,9,0.5001486988880458,4.501338289992412,-0.16147581353985427,-0.009251400387857104,-0.00464998190480556,-0.17537719583251693,-0.7894320867924061,16.130408066105808,13.078579145213215
16.920731707317074,-20.079268292682926,16.74390243902439,-20.25609756097561,17.097560975609756,-19.902439024390244,9,0.5001486988880458,4.501338289992412,-0.16147581353985427,-0.00909127468732123,-0.004749245412526843,-0.17531633363970234,-0.7891581254734769,15.845717726732678,13.353132915785967
17.274390243902438,-19.725609756097562,17.097560975609756,-19.902439024390244,17.451219512195124,-19.548780487804876,9,0.5001486988880458,4.501338289992412,-0.16147581353985427,-0.008931148986785358,-0.004848508920248123,-0.17525547144688775,-0.7888841641545477,15.561221164877816,13.627492908840447
17.628048780487806,-19.371951219512194,17.451219512195124,-19.548780487804876,17.804878048780488,-19.195121951219512,9,0.5001486988880458,4.501338289992412,-0.16147581353985427,-0.008771023286249484,-0.004947772427969406,-0.17519460925407315,-0.7886102028356184,15.276918380541218,13.901659124376664
17.981707317073173,-19.018292682926827,17.804878048780488,-19.195121951219512,18.158536585365855,-18.841463414634145,9,0.5001486988880458,4.501338289992412,-0.16147581353985427,-0.008610897585713609,-0.005047035935690688,-0.1751337470612586,-0.7883362415166894,14.992809373722888,14.175631562394617
18.335365853658537,-18.664634146341463,18.158536585365855,-18.841463414634145,18.51219512195122,-18.48780487804878,9,0.5001486988880458,4.501338289992412,-0.16147581353985427,-0.008450771885177738,-0.0051462994434119695,-0.17507288486844397,-0.7880622801977599,14.708894144422823,14.449410222894294
18.6890243902439,-18.3109756097561,18.51219512195122,-18.48780487804878,18.865853658536587,-18.134146341463413,9,0.5001486988880458,4.501338289992412,-0.16147581353985427,-0.008290646184641863,-0.00524556295113325,-0.17501202267562938,-0.7877883188788307,14.425172692641029,14.722995105875707
19.04268292682927,-17.95731707317073,18.865853658536587,-18.134146341463413,19.21951219512195,-17.78048780487805,9,0.5001486988880458,4.501338289992412,-0.16147581353985427,-0.00813052048410599,-0.005344826458854532,-0.17495116048281478,-0.7875143575599015,14.141645018377499,14.996386211338857
19.396341463414636,-17.603658536585364,19.21951219512195,-17.78048780487805,19.573170731707318,-17.426829268292682,9,0.5001486988880458,4.501338289992412,-0.16147581353985427,-0.007970394783570115,-0.005444089966575815,-0.1748902982900002,-0.7872403962409723,13.858311121632237,15.269583539283738
19.75,-17.25,19.573170731707318,-17.426829268292682,19.926829268292682,-17.073170731707318,9,0.5001486988880458,4.501338289992412,-0.16147581353985427,-0.007810269083034243,-0.005543353474297096,-0.17482943609718563,-0.7869664349220432,13.575171002405245,15.542587089710354
